Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Stan Tracey & Danny Moss	Just You, Just Me	(9, 11)	Drop Me Off In Harlem	Stan Tracey & Danny Moss	Just You, Just Me	Drop Me Off In Harlem	True	True	True
Stan Tracey & Danny Moss	Just You, Just Me	(11, 11)	Just Friends	Stan Tracey & Danny Moss	Just You, Just Me	Just Friends	True	True	True
Stan Tracey & Danny Moss	Just You, Just Me	(2, 11)	Indian Summer	Stan Tracey & Danny Moss	Just You, Just Me	Indian Summer	True	True	True
Stan Tracey & Danny Moss	Just You, Just Me	(8, 11)	Day Dream	Stan Tracey & Danny Moss	Just You, Just Me	Day Dream	True	True	True
Stan Tracey & Danny Moss	Just You, Just Me	(7, 11)	I Can't Give You Anything But Love	Stan Tracey & Danny Moss	Just You, Just Me	I Can't Give You Anything But Love	True	True	True
Stan Tracey & Danny Moss	Just You, Just Me	(10, 11)	All Too Soon	Stan Tracey & Danny Moss	Just You, Just Me	All Too Soon	True	True	True
Stan Tracey & Danny Moss	Just You, Just Me	(5, 11)	Good Queen Bess	Stan Tracey & Danny Moss	Just You, Just Me	Good Queen Bess	True	True	True
Stan Tracey & Danny Moss	Just You, Just Me	(4, 11)	Gone With The Wind	Stan Tracey & Danny Moss	Just You, Just Me	Gone With The Wind	True	True	True
Stan Tracey & Danny Moss	Just You, Just Me	(1, 11)	Just You Just Me	Stan Tracey & Danny Moss	Just You, Just Me	Just You Just Me	True	True	True
Stan Tracey & Danny Moss	Just You, Just Me	(3, 11)	I'm Beginning To See The Light	Stan Tracey & Danny Moss	Just You, Just Me	I'm Beginning To See The Light	True	True	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Duke Ellington and Johnny Hodges	Side By Side	(10, 12)	Basin Street Blues (Williams)	Duke Ellington & Johnny Hodges	Side By Side	Basin Street Blues (Williams)	False	True	True
Duke Ellington and Johnny Hodges	Side By Side	(2, 12)	 Fats Waller)	Duke Ellington & Johnny Hodges	Side By Side	Squeeze Me (Clarence Wiliams - Fats Waller)	False	True	False
Duke Ellington and Johnny Hodges	Side By Side	(8, 12)	Bend One (Johnny Hodges)	Duke Ellington & Johnny Hodges	Side By Side	Bend One (Johnny Hodges)	False	True	True
