Artist 	 Album
Cannonball Adderley	Somethin' Else
Cannonball Adderley	The Black Messiah
Cannonball Adderley	The Black Messiah
Cannonball Adderley	Top Jazz Sarpe
Carmen Mcrae	Miss Jazz
Carol Kidd	Nice Work
Cecil Payne	Patterns Of Jazz
Cecil Payne	Performing Charlie Parker Music
Cecil Payne	The Connection (New Original Score)
Cecil Payne	The Randy Weston Trio Plus Cecil Payne
Charles Mingus	At Antibes
Charles Mingus	At Antibes
Charles Mingus	Blues & Roots
Charles Mingus	Changes One
Charles Mingus	Changes Two
Charles Mingus	Charles Mingus - Mingus Moves (1973) [Eac-Flac]
Charles Mingus	Charles Mingus - Mingus Moves (1973) [Eac-Flac]
Charles Mingus	Charles Mingus Presents Charles Mingus
Charles Mingus	Charles Mingus Presents Charles Mingus
Charles Mingus	Complete Candid Recordings Of Charles Mingus
Charles Mingus	Cornell 1964
Charles Mingus	Cornell 1964
Charles Mingus	Cornell 1964
Charles Mingus	Debut Rarities Volume 1
Charles Mingus	Debuts Rarities Vol. 4
Charles Mingus	East Coasting
Charles Mingus	Fables Of Faubus
Charles Mingus	Final Work
Charles Mingus	Good Bye Pork Pie Hat
Charles Mingus	In Your Soul
Charles Mingus	Jazz Composers Workshop
Charles Mingus	Jazz Portraits
Charles Mingus	Jazzical Moods
Charles Mingus	Let My Children Hear Music
Charles Mingus	Mingus Ah Um
Charles Mingus	Mingus At Carnegie Hall
Charles Mingus	Mingus At The Bohemia
Charles Mingus	Mingus Dynasty
Charles Mingus	Mingus In Wonderland
Charles Mingus	Mingus Mingus Mingus Mingus Mingus
Charles Mingus	Mingus Plays Piano
Charles Mingus	Mingus Revisited
Charles Mingus	Mingus Three
Charles Mingus	Oh Yeah
Charles Mingus	Original Faubus Fables
Charles Mingus	Original Faubus Fables
Charles Mingus	Pithecanthropus Erectus
Charles Mingus	Reincarnation Of A Love Bird
Charles Mingus	Shoes Of The Fisherman'S Wife
Charles Mingus	The Black Saint And The Sinner Lady
Charles Mingus	The Charles Mingus Quintet + Max Roach
Charles Mingus	The Clown
Charles Mingus	The Complete 1960 Nat Hentoff Sessions (Disc 1)
Charles Mingus	The Complete 1960 Nat Hentoff Sessions (Disc 2)
Charles Mingus	The Complete 1960 Nat Hentoff Sessions (Disc 3)
Charles Mingus	The Complete Candid Recordings Of Charles Mingus
Charles Mingus	The Complete Candid Recordings Of Charles Mingus
Charles Mingus	The Complete Candid Recordings Of Charles Mingus
Charles Mingus	The Complete Candid Recordings Of Charles Mingus
Charles Mingus	The Complete Town Hall Concert
Charles Mingus	Three Or Four Shades Of Blues
Charles Mingus	Tijuana Moods (The Complete Edition)
Charles Mingus	Tijuana Moods (The Complete Edition)
Charles Mingus	Tijuana Moods (The Complete Edition)
Charles Mingus	Tonight At Noon
Charles Mingus & Eric Dolphy	Jazz Festival, Antibes, July 13, 1960
Charlie Barnet  & Orchestra	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Charlie Barnet & His Orchestra	Bebop Spoken Here_ Tempus Fugit
Charlie Christian	Swing To Bop
Charlie Parker	'Round Midnight
Charlie Parker	At Birdland And Cafe Society
Charlie Parker	Bird & Diz
Charlie Parker	Bird And Fats - Live At Birdland 1950
Charlie Parker	Bird At Birdland
Charlie Parker	Bird At Birdland
Charlie Parker	Bird At Birdland
Charlie Parker	Bird At Birdland
Charlie Parker	Bird At Birdland
Charlie Parker	Bird At St. Nick'S
Charlie Parker	Bird'S Eyes - Vol. 07
Charlie Parker	Charlie Parker All-Stars
Charlie Parker	Charlie Parker All-Stars
Charlie Parker	Charlie Parker Complete Verve 1947-1954
Charlie Parker	Charlie Parker Complete Verve 1947-1954
Charlie Parker	Charlie Parker Complete Verve 1947-1954
Charlie Parker	Charlie Parker Complete Verve 1947-1954
Charlie Parker	Charlie Parker On Clef
Charlie Parker	Charlie Parker On Verve
Charlie Parker	Charlie Parker Quintet
Charlie Parker	Charlie Parker Quintet
Charlie Parker	Charlie Parker Septet
Charlie Parker	Charlie Parker Septet
Charlie Parker	Charlie Parker With Strings Master Takes
Charlie Parker	Charlie Parker'S Reboppers
Charlie Parker	Charlie Parker'S Reboppers
Charlie Parker	Charlie Parker, Clifford Brown, Phil Woods
Charlie Parker	Charlie Parker, Clifford Brown, Phil Woods
Charlie Parker	Chasin' The Bird
Charlie Parker	Complete Live At Café  Society
Charlie Parker	Greatest Verve Bop Quintets
Charlie Parker	Jumpin' At The Roost (1948-1949)
Charlie Parker	Masters
Charlie Parker	Masterworks 1946-1947
Charlie Parker	Newly Discovered Sides By The Immortal
Charlie Parker	The Complete Live Performances On Savoy - Cd1
Charlie Parker	The Complete Live Performances On Savoy - Cd2
Charlie Parker	The Complete Live Performances On Savoy - Cd3
Charlie Parker	The Complete Live Performances On Savoy - Cd4
Charlie Parker	The Complete Savoy Sessions - Cd1
Charlie Parker	The Complete Savoy Sessions - Cd2
Charlie Parker	The Complete Savoy Sessions - Cd3
Charlie Parker	The Complete Savoy Sessions - Cd4
Charlie Parker	The Essential Charlie Parker
Charlie Parker	The Gold Collection
Charlie Parker	The Washington Concerts
Charlie Ventura	Bebop Spoken Here_ Tempus Fugit
Charlie Watts Orchestra	Live At Fulham Town Hall
Charlie Watts Quintet	A Tribute To Charlie Parker
Charlie Watts Tentet	Live At Ronnie Scotts Cd1
Charlie Watts Tentet	Live At Ronnie Scotts Cd2
Chas Burchell	Unsung Hero - The Undiscovered Genius Of
Chet Baker	Chet Baker Introduces Johnny Pace
Chet Baker	Grey December
Chet Baker	In New York
Chet Baker	Jazz At Ann Arbor
Chet Baker	Montmartre June 1980
Chet Baker	Once Upon A Summertime
Chet Baker	Plays The Best Of Lerner & Loewe
Chet Baker	Somewhere Over The Rainbow
Chet Baker	The Complete Holland 1955 Concerts
Chet Baker	The Italian Sessions
Chet Baker & Art Pepper	Playboys
Chet Baker & Art Pepper	The Route
Chet Baker And Charlie Parker	Complete Jam Sessions
Chet Baker Quartet	California Cool. Blue Note West Coast Jazz Sampler
Chet Baker With Bud Shank Orchestra	California Cool. Blue Note West Coast Jazz Sampler
Chick Corea	Akoustic Band - Alive
Chick Corea	Now He Sings, Now He Sobs
Chico Freeman	Spirit Sensitive
Chico Hamilton	3 Classic Albums Cd2
Chico Hamilton	Chico Hamilton Quintet In Hifi
Chico Hamilton	Chico Hamilton Trio
Chico Hamilton	The Chico Hamilton Quintet
Chico Hamilton	The Chico Hamilton Quintet Feat Buddy Collette
Chico Hamilton Quintet	California Cool. Blue Note West Coast Jazz Sampler
Claes Crona Trio	Three Tenors
Claire Martin	Off Beat
Claire Martin	Old Boyfriends
Claire Martin	The Waiting Game
Clark Terry	In Orbit - With Theloniuos Monk
Clark Terry	Out On A Limb With
Clark Terry	Paris
Clark Terry; Paul Gonsalves	Daylight Express
Clark Tracey	Full Speed Sideways
Clarke Boland Big Band	En Concert Avec Europe 1 (29 Octobre 1969)
Clarke Boland Big Band	Tnp - Oct. 29Th, 1969 (Cd2)
Claude Thornhill	Best Of The Big Bands
Claude Thornhill & His Orchestra	Bebop Spoken Here - Disc 2 (Confirmation)
Claude Thornhill & His Orchestra	Bebop Spoken Here - How High The Moon
Clifford Brown	Brownie - The Complete Emarcy Recordings Of Clifford Brown
Clifford Brown	Brownie - The Complete Emarcy Recordings Of Clifford Brown
Clifford Brown	Brownie - The Complete Emarcy Recordings Of Clifford Brown
Clifford Brown	Brownie - The Complete Emarcy Recordings Of Clifford Brown
Clifford Brown	Brownie - The Complete Emarcy Recordings Of Clifford Brown
Clifford Brown	Brownie - The Complete Emarcy Recordings Of Clifford Brown
Clifford Brown	Brownie - The Complete Emarcy Recordings Of Clifford Brown
Clifford Brown	Brownie - The Complete Emarcy Recordings Of Clifford Brown
