Artist 	 Album
Tubby Hayes Orchestra Vic Ash Quintet New Jazz Group	New Jazz Scene 1956
Tubby Hayes With Clark Terry	The New York Sessions
Turk Mauro	Live In Paris
Turk Mauro	The Truth
Valery Ponomarev	Profile
Valery Ponomarev	Trip To Moscow
Various	Affinity - The Compact Sound Of Jazz
Various	All The Winners
Various	Atlantic - Post Bop
Various	Beyond El Rocco
Various	David X Young'S Jazz Loft Disc One
Various	David X Young'S Jazz Loft Disc Two
Various	Dutch Jazz Vol 10 Giants
Various	Jazz In Paris - Cinema
Various	Jazz In Paris - Cinema
Various	Jazz In Paris - Cinema
Various	On The Spot
Various	Tercet
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Various	Va - Atlantic Jazz Legends - 2014
Vasilis Xenopoulos	The Wind Machine
Vic Ash	Session For Four
Vic Lewis New Music	Bebop In Britain - In All Directions
Victor Feldman Quartet	Bebop In Britain - Limbering Up - The First Sessions
Vido Musso, Stan Getz & Kay Winding	Loaded
Vienna Art Orchestra	Duke Ellington'S Sound Of Love
Vincent Herring	American Experience
Walter Bishop Jr	Speak Low
Wanderlust	Song And Dance
Wardell Gray	Lester Young'S Disciples
Wardell Gray	One For Prez
Wardell Gray	Wardell Gray Complete Sunset & New Jazz Masters
Wardell Gray And Chet Baker	California Jam Session
Wardell Gray Quartet	Bebop Spoken Here - Disc 2 (Confirmation)
Wardell Gray Quartet	Bebop Spoken Here_ Tempus Fugit
Warne Marsh	All Music
Warne Marsh	Berlin 1980
Warne Marsh	De Tobbe (Bootleg)
Warne Marsh	De Tobbe (Bootleg)
Warne Marsh	De Tobbe (Bootleg)
Warne Marsh	Final Interplay
Warne Marsh	I Got A Good One For You
Warne Marsh	Lester Young'S Disciples
Warne Marsh	Ne Plus Ultra
Warne Marsh	New York City Live
Warne Marsh	New York City Live
Warne Marsh	New York City Live
Warne Marsh	Red Mitchell - Big Two Vol. I
Warne Marsh	Release Record - Send Tape
Warne Marsh	Star Highs
Warne Marsh - Sal Mosca Quartet	Warne Marsh - Sal Mosca - Volume 2
Warne Marsh And Art Pepper	Warne Marsh And Art Pepper
Warne Marsh And Lee Konitz	Two Not One - Vol 1
Warne Marsh And Lee Konitz	Two Not One - Vol 2
Warne Marsh And Lee Konitz	Two Not One - Vol 3
Warne Marsh And Lee Konitz	Two Not One - Vol 4
Wayne Shorter	Adam'S Apple
Wayne Shorter	Juju
Wayne Shorter	Second Genesis
Wayne Shorter	Speak No Evil
Wayne Shorter	The All Seeing Eye
Weather Report	Heavy Weather
Wes Montgomery	Full House (Live)
Wes Montgomery	Groove Yard
Wes Montgomery	Movin' Wes
Wes Montgomery	Straight, No Chaser
Wes Montgomery All-Stars	A Good Git-Together
Woody Herman & His Orchestra	Bebop Spoken Here - How High The Moon
Woody Herman & His Orchestra	Bebop Spoken Here_ Tempus Fugit
Wynton Kelly Trio, Wes Montgomery	Smokin' At The Half Note
Wynton Marsalis	At The Octoroon Balls
Zoot Sims	Art Pepper & Zoot Sims 'All Stars'
Zoot Sims	At Ronnie Scott'S 1961 - The Complete Recordings
Zoot Sims	Basie & Zoot Sims
Zoot Sims	Compatability
Zoot Sims	Down Home
Zoot Sims	Gerry Mulligan Meets The Saxophonists (1960)
Zoot Sims	I Hear A Rhapsody
Zoot Sims	If I'M Lucky
Zoot Sims	In A Sentimental Mood
Zoot Sims	Lester Young'S Disciples
Zoot Sims	Passion Flower_ Zoot Sims Plays Duke Ellington
Zoot Sims	Quartet & Sextet
Zoot Sims	Send In The Clowns (1993)
Zoot Sims	Suddenly It'S Spring (1983)
Zoot Sims	The Innocent Years
Zoot Sims	The Modern Art Of Jazz Vol.1
Zoot Sims	The Swinger With Zoot Sims (1988)
Zoot Sims	Two Jims And Zoot
Zoot Sims	Zoot
Zoot Sims	Zoot Sims And The Gershwin Brothers (1990)
Zoot Sims	Zoot Sims Plays Soprano Sax
Zoot Sims - Al Cohn - Herb Steward - Serge Chaloff	The Four Brothers Together Again
Zoot Sims And Bob Brookmeyer	Stretching Out - Kansas City Revisited
Zoot Sims And Bob Brookmeyer	Whooeeee
Zoot Sims Et Henri Renaud	Jazz In Paris
